id,name
P56199,ITGA1
P56373,P2RX3
P56589,PEX3
P56696,KCNQ4
P56746,CLDN15
P56748,CLDN8
P56749,CLDN12
P56750,CLDN17
P56817,BACE1
P56856,CLDN18
P56880,CLDN20
P56975,NRG3
P57103,SLC8A3
P57727,TMPRSS3
P57729,RAB38
P57735,RAB25
P57768,SNX16
P58182,OR12D2
P58335,ANTXR2
P59190,RAB15
P59534,TAS2R39
P59535,TAS2R40
P59536,TAS2R41
P59538,TAS2R31
P59542,TAS2R19
P59551,TAS2R60
P59901,LILRA4
P60033,CD81
P60852,ZP1
P60880,SNAP25
P61006,RAB8A
P61018,RAB4B
P61019,RAB2A
P61026,RAB10
P61073,CXCR4
P61077,UBE2D3
P61106,RAB14
P61587,RND3
P61619,SEC61A1
P61764,STXBP1
P61952,GNG11
P61966,AP1S1
P62070,RRAS2
P62072,TIMM10
P62166,NCS1
P62330,ARF6
P62745,RHOB
P62834,RAP1A
P63000,RAC1
P63211,GNGT1
P63215,GNG3
P63218,GNG5
P63241,EIF5A
P78310,CXADR
P78324,SIRPA
P78329,CYP4F2
P78333,GPC5
P78334,GABRE
P78352,DLG4
P78363,ABCA4
P78369,CLDN10
P78380,OLR1
P78381,SLC35A2
P78382,SLC35A1
P78423,CX3CL1
P78504,JAG1
P78536,ADAM17
P78552,IL13RA1
P79483,HLA-DRB3
P80303,NUCB2
P80370,DLK1
P80723,BASP1
P82279,CRB1
P83436,COG7
P98153,DGCR2
P98155,VLDLR
P98161,PKD1
P98172,EFNB1
P98194,ATP2C1
P98196,ATP11A
P98198,ATP8B2
Q00013,MPP1
Q00325,SLC25A3
Q00535,CDK5
Q00587,CDC42EP1
Q00610,CLTC
Q00796,SORD
Q00973,B4GALNT1
Q01082,SPTBN1
Q01113,IL9R
Q01118,SCN7A
Q01151,CD83
Q01344,IL5RA
Q01362,MS4A2
Q01453,PMP22
Q01628,IFITM3
Q01638,IL1RL1
Q01650,SLC7A5
Q01668,CACNA1D
Q01718,MC2R
Q01814,ATP2B2
Q01959,SLC6A3
Q01970,PLCB3
Q01973,ROR1
Q01974,ROR2
Q02094,RHAG
Q02246,CNTN2
Q02297,NRG1
Q02487,DSC2
Q02641,CACNB1
Q02643,GHRHR
Q02742,GCNT1
Q02763,TEK
Q02809,PLOD1
Q02818,NUCB1
Q02846,GUCY2D
Q02928,CYP4A11
Q02978,SLC25A11
Q03113,GNA12
Q03135,CAV1
Q03252,LMNB2
Q03395,ROM1
Q03405,PLAUR
Q03431,PTH1R
Q03518,TAP1
Q03519,TAP2
Q03721,KCNC4
Q04609,FOLH1
Q04656,ATP7A
Q04671,OCA2
Q04721,NOTCH2
Q04759,PRKCQ
Q04771,ACVR1
Q04900,CD164
Q04912,MST1R
Q04941,PLP2
Q05329,GAD2
Q05397,PTK2
Q05655,PRKCD
Q05901,CHRNB3
Q05996,ZP2
Q06136,KDSR
Q06187,BTK
Q06418,TYRO3
Q06432,CACNG1
Q06495,SLC34A1
Q07001,CHRND
Q07011,TNFRSF9
Q07065,CKAP4
Q07075,ENPEP
Q07108,CD69
Q07157,TJP1
Q07444,KLRC3
Q07699,SCN1B
Q07912,TNK2
Q07954,LRP1
Q08289,CACNB2
Q08334,IL10RB
Q08345,DDR1
Q08357,SLC20A2
Q08378,GOLGA3
Q08431,MFGE8
Q08462,ADCY2
Q08554,DSC1
Q08722,CD47
Q08828,ADCY1
Q09327,MGAT3
Q09328,MGAT5
Q09428,ABCC8
Q0JRZ9,FCHO2
Q0VAF6,SYCN
Q0VD83,APOBR
Q10469,MGAT2
Q10471,GALNT2
Q10472,GALNT1
Q10567,AP1B1
Q10588,BST1
Q10589,BST2
Q10981,FUT2
Q11128,FUT5
Q11130,FUT7
Q11201,ST3GAL1
Q11203,ST3GAL3
Q11206,ST3GAL4
Q12772,SREBF2
Q12791,KCNMA1
Q12797,ASPH
Q12809,KCNH2
Q12836,ZP4
Q12860,CNTN1
Q12879,GRIN2A
Q12884,FAP
Q12887,COX10
Q12891,HYAL2
Q12907,LMAN2
Q12908,SLC10A2
Q12913,PTPRJ
Q12999,TSPAN31
Q13003,GRIK3
Q13017,ARHGAP5
Q13177,PAK2
Q13237,PRKG2
Q13241,KLRD1
Q13255,GRM1
Q13261,IL15RA
Q13286,CLN3
Q13291,SLAMF1
Q13304,GPR17
Q13308,PTK7
Q13319,CDK5R2
Q13332,PTPRS
Q13336,SLC14A1
Q13349,ITGAD
Q13367,AP3B2
Q13393,PLD1
Q13410,BTN1A1
Q13418,ILK
Q13421,MSLN
Q13423,NNT
Q13424,SNTA1
Q13425,SNTB2
Q13433,SLC39A6
Q13439,GOLGA4
Q13444,ADAM15
Q13445,TMED1
Q13449,LSAMP
Q13464,ROCK1
Q13470,TNK1
Q13477,MADCAM1
Q13478,IL18R1
Q13496,MTM1
Q13507,TRPC3
Q13508,ART3
Q13554,CAMK2B
Q13555,CAMK2G
Q13557,CAMK2D
Q13561,DCTN2
Q13571,LAPTM5
Q13585,GPR50
Q13586,STIM1
Q13591,SEMA5A
Q13596,SNX1
Q13606,OR5I1
Q13613,MTMR1
Q13614,MTMR2
Q13615,MTMR3
Q13621,SLC12A1
Q13634,CDH18
Q13635,PTCH1
Q13636,RAB31
Q13639,HTR4
Q13651,IL10RA
Q13683,ITGA7
Q13698,CACNA1S
Q13702,RAPSN
Q13724,MOGS
Q13733,ATP1A4
Q13740,ALCAM
Q13797,ITGA9
Q13873,BMPR2
Q13884,SNTB1
Q13936,CACNA1C
Q14028,CNGB1
Q14088,RAB33A
Q14108,SCARB2
Q14118,DAG1
Q14126,DSG2
Q14160,SCRIB
Q14210,LY6D
Q14242,SELPLG
Q14254,FLOT2
Q14289,PTK2B
Q14315,FLNC
Q14330,GPR18
Q14344,GNA13
Q14392,LRRC32
Q14416,GRM2
Q14435,GALNT3
Q14439,GPR176
Q14449,GRB14
Q14451,GRB7
Q14457,BECN1
Q14494,NFE2L1
Q14500,KCNJ12
Q14512,FGFBP1
Q14517,FAT1
Q14524,SCN5A
Q14534,SQLE
Q14542,SLC29A2
Q14571,ITPR2
Q14573,ITPR3
Q14574,DSC3
Q14623,IHH
Q14626,IL11RA
Q14627,IL13RA2
Q14642,INPP5A
Q14654,KCNJ11
Q14677,CLINT1
Q14680,MELK
Q14699,RFTN1
Q14703,MBTPS1
Q14721,KCNB1
Q14739,LBR
Q14746,COG2
Q14773,ICAM4
Q14789,GOLGB1
Q14831,GRM7
Q14832,GRM3
Q14833,GRM4
Q14849,STARD3
Q14916,SLC17A1
Q14940,SLC9A5
Q14957,GRIN2C
Q14964,RAB39A
Q14973,SLC10A1
Q14C86,GAPVD1
Q14CZ8,HEPACAM
Q14D04,VEPH1
Q15011,HERPUD1
Q15036,SNX17
Q15041,ARL6IP1
Q15070,OXA1L
Q15075,EEA1
Q15077,P2RY6
Q15078,CDK5R1
Q15109,AGER
Q15116,PDCD1
Q15125,EBP
Q15165,PON2
Q15256,PTPRR
Q15262,PTPRK
Q15286,RAB35
Q15303,ERBB4
Q15311,RALBP1
Q15363,TMED2
Q15382,RHEB
Q15391,P2RY14
Q15436,SEC23A
Q15464,SHB
Q15599,SLC9A3R2
Q15612,OR1Q1
Q15615,OR4D1
Q15619,OR1C1
Q15620,OR8B8
Q15622,OR7A5
Q15629,TRAM1
Q15643,TRIP11
Q15669,RHOH
